interlink_larva_dippin_with_metadata,cross_ref,site,plot,plot_id,year,season,location,dip_point,management,rhyne_dry,totals_n_larvae,totals_not_ided,totals_n_an_maculipennis,totals_n_an_claviger,totals_n_cx_pipiens,totals_n_cs_annulata,totals_n_cs_morsitans,totals_n_oc_annulipes_cantans,totals_n_oc_caspius,landcover,buttercup,grass,clover,carex,juncus,marsh_marigold,meadow_sweet,nettles,thistle,water_mint,dandelion,birch,alder,dog_rose,hawthorn,oak,sallow,willow,ladies_frock,cows_visible,sheep_visible,other_life_stock_visible,rhyne_cleared,dry_ever_in_that_year,dry_ever_all_years,average_width_m,waterboard_water_level_below_land_m,water_temperature_c,turbidity,salinity,dissolved_oxygen,p_h_probe,av_depth_proximal_edge_cm,av_depth_centre_cm,exposure,percentage_water_shaded,central_cover_carex_percent,central_cover_celery_leaved_buttercup_percent,central_cover_duckweed_percent,central_cover_frog_bit_percent,central_cover_grass_percent,central_cover_ivy_leaved_duckweed_percent,central_cover_juncus_percent,central_cover_marsh_bedstraw_percent,central_cover_typha_percent,central_cover_water_parsnip_percent
67401,674,81,1,8101,2009,2,Godney,1,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,1.1,NA,NA,NA,NA,7.3,NA,NA,2,100,20,0,0,0,0,0,0,0,0,0
67402,674,81,1,8101,2009,2,Godney,2,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,1.1,21.2,0.899,0.69,106.2,7.3,NA,NA,2,100,0,0,0,0,0,0,0,0,0,0
67403,674,81,1,8101,2009,2,Godney,3,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,1.1,NA,NA,NA,NA,7.3,NA,NA,2,100,0,0,0,0,0,0,0,0,0,0
67404,674,81,1,8101,2009,2,Godney,4,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,2,100,5,0,0,0,0,0,0,0,0,0
67501,675,81,2,8102,2009,2,Godney,1,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,0.85,19.56,0.493,0.37,122.7,5.7,15,20,4,80,0,0,95,0,0,0,0,0,0,0
67502,675,81,2,8102,2009,2,Godney,2,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,0.85,NA,NA,NA,NA,NA,20,15,4,80,0,0,95,0,0,0,0,0,0,0
67503,675,81,2,8102,2009,2,Godney,3,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,0.85,20.16,0.447,0.34,118.2,6.07,20,10,4,80,0,0,95,0,0,0,0,0,0,0
67504,675,81,2,8102,2009,2,Godney,4,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,0.85,NA,NA,NA,NA,NA,20,20,4,80,0,0,65,30,0,0,0,0,0,0
67505,675,81,2,8102,2009,2,Godney,5,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,0.85,19.23,0.498,0.38,124.5,5.9,10,20,4,80,0,0,95,0,0,0,0,0,0,0
67506,675,81,2,8102,2009,2,Godney,6,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,0.85,NA,NA,NA,NA,NA,20,30,4,80,0,0,75,20,0,0,0,0,0,0
67601,676,81,3,8103,2009,2,Godney,1,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,20.15,0.759,0.58,118.3,6.6,20,20,4,80,10,0,30,0,0,0,0,0,0,0
67602,676,81,3,8103,2009,2,Godney,2,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,15,20,4,95,0,0,50,0,0,0,0,0,0,0
67603,676,81,3,8103,2009,2,Godney,3,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,20,0.641,0.49,98.2,6.94,20,30,4,75,30,0,60,0,0,0,0,0,0,0
67604,676,81,3,8103,2009,2,Godney,4,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,20,20,4,75,70,0,30,0,0,0,0,0,0,0
67605,676,81,3,8103,2009,2,Godney,5,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,18.55,0.751,0.58,129.4,6.04,10,20,5,85,30,0,70,0,0,0,0,0,0,0
67606,676,81,3,8103,2009,2,Godney,6,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,10,10,5,90,60,0,40,0,0,0,0,0,0,0
67701,677,81,4,8104,2009,2,Godney,1,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.5,1,NA,NA,NA,NA,NA,4,7,2,80,15,0,0,0,0,50,0,0,0,0
67702,677,81,4,8104,2009,2,Godney,2,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.5,1,NA,NA,NA,NA,NA,4,7,4,80,25,0,0,0,0,25,0,0,0,0
67703,677,81,4,8104,2009,2,Godney,3,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.5,1,NA,NA,NA,NA,NA,4,7,4,80,0,0,0,0,0,50,0,0,0,0
67704,677,81,4,8104,2009,2,Godney,4,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.5,1,NA,NA,NA,NA,NA,4,7,4,80,25,0,0,0,0,60,0,0,0,0
67705,677,81,4,8104,2009,2,Godney,5,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.5,1,20,NA,NA,NA,NA,4,20,4,80,0,0,0,0,0,50,0,0,0,0
67706,677,81,4,8104,2009,2,Godney,6,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.5,1,NA,NA,NA,NA,NA,4,20,4,80,10,0,2,0,0,58,0,0,0,0
