site,plot,arable_horticulture,broadleaved_woodland,improved_grassland,neutral_grassland,rough_grassland,freshwater
81,1,0.19607843137254902,0.19607843137254902,0.5882352941176471,0.0196078431372549,0,0
81,2,0,0,1,0,0,0
81,3,0,0.02,0.98,0,0,0
81,4,0,0,1,0,0,0
82,1,0.34,0,0.66,0,0,0
82,2,0.28,0,0.72,0,0,0
82,3,0.02040816326530612,0,0.9795918367346939,0,0,0
82,4,0.22916666666666666,0,0.7708333333333334,0,0,0
83,1,0.2,0,0.8,0,0,0
83,2,0.019230769230769232,0,0.9807692307692307,0,0,0
83,3,0,0,1,0,0,0
83,4,0.12,0,0.88,0,0,0
84,1,1,0,0,0,0,0
84,2,0.66,0,0.34,0,0,0
84,3,0.5510204081632653,0,0.14285714285714285,0,0.30612244897959184,0
84,4,0.8085106382978723,0.0425531914893617,0.14893617021276595,0,0,0
85,1,0.04,0,0.96,0,0,0
85,2,0,0,1,0,0,0
85,3,0,0,1,0,0,0
85,4,0.3,0,0.7,0,0,0
86,1,0.673469387755102,0,0.02040816326530612,0.30612244897959184,0,0
86,2,0.5306122448979592,0,0.46938775510204084,0,0,0
86,3,0.5918367346938775,0,0.40816326530612246,0,0,0
86,4,1,0,0,0,0,0
87,1,0.49019607843137253,0,0.5098039215686274,0,0,0
87,2,0,0,1,0,0,0
87,3,0,0,1,0,0,0
87,4,0.3617021276595745,0,0.6382978723404256,0,0,0
88,1,0.4791666666666667,0,0.5208333333333334,0,0,0
88,2,0,0,1,0,0,0
88,3,0,0,1,0,0,0
88,4,0,0,0.875,0,0,0.125
89,1,0.673469387755102,0,0.32653061224489793,0,0,0
89,2,1,0,0,0,0,0
89,3,0.5,0,0.48,0,0.02,0
89,4,0.1,0,0.9,0,0,0
90,1,0.4583333333333333,0,0.5416666666666666,0,0,0
90,2,0.038461538461538464,0,0.9615384615384616,0,0,0
90,3,0.20408163265306123,0,0.7959183673469388,0,0,0
90,4,0.46938775510204084,0,0.5306122448979592,0,0,0
91,1,0.16,0,0.84,0,0,0
91,2,0.42857142857142855,0,0.1836734693877551,0,0.3877551020408163,0
91,3,0.7959183673469388,0,0,0,0.20408163265306123,0
91,4,0.6730769230769231,0,0.25,0,0.07692307692307693,0
92,1,0.3,0,0.7,0,0,0
92,2,0.5208333333333334,0,0.4791666666666667,0,0,0
92,3,0.5625,0,0.2916666666666667,0,0.14583333333333334,0
92,4,0.42,0,0.5,0,0.08,0
93,1,0.4897959183673469,0,0.5102040816326531,0,0,0
93,2,0.26,0,0.74,0,0,0
93,3,0,0,1,0,0,0
95,1,0.20408163265306123,0,0.3469387755102041,0,0.4489795918367347,0
95,2,0,0,0.20408163265306123,0,0.7959183673469388,0
95,3,0.46938775510204084,0,0,0,0.5306122448979592,0
95,4,0.24489795918367346,0,0.4489795918367347,0,0.30612244897959184,0
96,1,0.5625,0,0.4375,0,0,0
96,2,0.22916666666666666,0,0.7708333333333334,0,0,0
96,3,0,0,1,0,0,0
96,4,0.44,0,0.56,0,0,0
97,1,0.574468085106383,0,0.425531914893617,0,0,0
97,2,0.6170212765957447,0,0.3829787234042553,0,0,0
97,3,1,0,0,0,0,0
97,4,0.42857142857142855,0,0.5714285714285714,0,0,0
98,2,0.27450980392156865,0,0.7254901960784313,0,0,0
98,3,0.7916666666666666,0,0.16666666666666666,0,0.041666666666666664,0
98,4,0.3137254901960784,0,0.6862745098039216,0,0,0
98,5,0.38,0,0.52,0,0.1,0
