uid,site,plot,year,season,location,management,dip_point,total,pipiens,maculipennis,claviger,annulata,morsitans,cantans,caspius,rhyne_dry,rhyne_cleared,exposure,landcover,width,depth,shaded,turbidity,salinity,water_temp,dissolved_oxygen,ph,cover_carex,cover_celery_leaved_buttercup,cover_duckweed,cover_frog_bit,cover_grass,cover_ivy_leaved_duckweed,cover_juncus,cover_marsh_bedstraw,cover_typha,cover_water_parsnip
1,81,1,2009,2,Godney,Tier1,1,0,0,0,0,0,0,0,0,0,0,2,pasture,1.1,NA,1,NA,NA,NA,NA,7.3,0.2,0,0,0,0,0,0,0,0,0
2,81,1,2009,2,Godney,Tier1,2,0,0,0,0,0,0,0,0,0,0,2,pasture,1.1,NA,1,0.899,0.69,21.2,106.2,7.3,0,0,0,0,0,0,0,0,0,0
3,81,1,2009,2,Godney,Tier1,3,0,0,0,0,0,0,0,0,0,0,2,pasture,1.1,NA,1,NA,NA,NA,NA,7.3,0,0,0,0,0,0,0,0,0,0
4,81,1,2009,2,Godney,Tier1,4,0,0,0,0,0,0,0,0,0,0,2,pasture,1.1,NA,1,NA,NA,NA,NA,NA,0.05,0,0,0,0,0,0,0,0,0
5,81,2,2009,2,Godney,Tier1,1,0,0,0,0,0,0,0,0,0,0,4,pasture,1.1,20,0.8,0.493,0.37,19.56,122.7,5.7,0,0,0.95,0,0,0,0,0,0,0
6,81,2,2009,2,Godney,Tier1,2,0,0,0,0,0,0,0,0,0,0,4,pasture,1.1,15,0.8,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
7,81,2,2009,2,Godney,Tier1,3,0,0,0,0,0,0,0,0,0,0,4,pasture,1.1,10,0.8,0.447,0.34,20.16,118.2,6.07,0,0,0.95,0,0,0,0,0,0,0
8,81,2,2009,2,Godney,Tier1,4,0,0,0,0,0,0,0,0,0,0,4,pasture,1.1,20,0.8,NA,NA,NA,NA,NA,0,0,0.65,0.3,0,0,0,0,0,0
9,81,2,2009,2,Godney,Tier1,5,0,0,0,0,0,0,0,0,0,0,4,pasture,1.1,20,0.8,0.498,0.38,19.23,124.5,5.9,0,0,0.95,0,0,0,0,0,0,0
10,81,2,2009,2,Godney,Tier1,6,0,0,0,0,0,0,0,0,0,0,4,pasture,1.1,30,0.8,NA,NA,NA,NA,NA,0,0,0.75,0.2,0,0,0,0,0,0
11,81,3,2009,2,Godney,Tier1,1,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,20,0.8,0.759,0.58,20.15,118.3,6.6,0.1,0,0.3,0,0,0,0,0,0,0
12,81,3,2009,2,Godney,Tier1,2,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,20,0.95,NA,NA,NA,NA,NA,0,0,0.5,0,0,0,0,0,0,0
13,81,3,2009,2,Godney,Tier1,3,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,30,0.75,0.641,0.49,20,98.2,6.94,0.3,0,0.6,0,0,0,0,0,0,0
14,81,3,2009,2,Godney,Tier1,4,0,0,0,0,0,0,0,0,0,0,4,rough pasture,2,20,0.75,NA,NA,NA,NA,NA,0.7,0,0.3,0,0,0,0,0,0,0
