Interlink_larva_dippin_with_metadata,Dip-specific_predator_data,Detailled_pics,Detailled_veg_data,Shade_assessed_in_situ?,Data_entered_by/comment,WHO_assessed_vegetation,Cross_Ref,Site,Plot,Plot_ID,Year,Season,Location,Dip_point,NEW_averaged_GPS_readings_ST,NEW_averaged_GPS_readings_Eastings,NEW_averaged_GPS_readings_Northings,Eastings_recordings_from_field_data_sheet,Northings_recordings_from_field_data_sheet,Water_tier_management,Sample_date,Sampling_time,Operator,"Weather (1=sunny, 2=sunny spells, 3=overcast, 4=rain)",Wind_speed,Wind_direction,Air_temperature_[°C],Minimum_air_t_[°C],Maximum_air_t_[°C],"Landcover - rough pasture, rough pasture, reed bed, wet woodland",Buttercup,Grass,Clover,Carex,Juncus,Marsh_marigold,Meadow_sweet,Nettles,Thistle,Water_mint,Dandelion,Birch,Alder,Dog_rose,Hawthorn,Oak,Sallow,Willow,Ladie's_frock,Cows_visible,Sheep_visible,Other_life_stock_visible,Rhyne_cleared,Rhyne_Dry,Dry_ever_(in_that_year),Dry_ever_(all_years),water_body,Average_width_[m],Approx._length_[m]__,Approx._size_[m2],Waterboard_(water_level_below_land)_[m],Distance_dip1_to_rhyne_end_[m],Rhyne_direction_[degrees],Flow_speed_[m/s],Water_temperature_[?C],Turbidity,Salinity,Dissolved_oxygen,pH_probe,pH_-_new_pH_probe,av.depth_proximal_edge_[cm],av.depth_centre_[cm],"av.depth_[cm,_three_measurements,_not_carried_out_beyond_2009]","Exposure_-_1=_sun,_3_=_shade,_2_=_partial_shade,_4_=_open_but_emergent_vegetation_within_rhyne,_5_=_open_but_shaded_by_very_high_bank_or_dense_overhanging_bank_vegetation",Percentage_water_shaded,Fish,Water_boatman,WBL_Water_beetle_larva,Water_beetle,Damselfly_larva,Dragonfly_larva,Phantom_midge,Backswimmer,Saucer_bug,Water_scorpion,Water_spider,Newt,Tadpole,Frog,Flatworm,Gammarus
67401,1,1,1,no,SMS,BP,674,81,1,8101,2009,2,Godney,1,ST,48856,42096,48856,42096,1,39993,0.695833333,BP SS,1,nr,nr,nr,15,30,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,rhyne,1.1,nr,nr,1.1,nr,310,0,nr,nr,nr,nr,7.3,NA,nr,nr,5,2,100,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
67402,1,1,1,no,SMS,BP,674,81,1,8101,2009,2,Godney,2,ST,48855,42096,48855,42096,1,39993,0.695833333,BP SS,1,nr,nr,nr,15,30,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,rhyne,1.1,nr,nr,1.1,nr,310,0,21.2,0.899,0.69,106.2,7.3,NA,nr,nr,8,2,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
67403,1,1,1,no,SMS,BP,674,81,1,8101,2009,2,Godney,3,ST,48854,42102,48854,42102,1,39993,0.695833333,BP SS,1,nr,nr,nr,15,30,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,rhyne,1.1,nr,nr,1.1,nr,310,0,nr,nr,nr,nr,7.3,NA,nr,nr,4,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67404,1,1,1,no,SMS,BP,674,81,1,8101,2009,2,Godney,4,ST,48794,42274,48793,42280,1,39993,0.695833333,BP SS,1,nr,nr,nr,15,30,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,rhyne,1.1,nr,nr,1.1,nr,310,0,nr,nr,nr,nr,nr,NA,nr,nr,5,2,100,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
67400,NA,NA,NA,NA,SMS,BP,674,81,1,8101,2009,2,Godney,"5 (NA, second reading for dip 4)",ST,48798,42256,48798,42256,1,39993,0.695833333,BP SS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67400,NA,NA,NA,NA,SMS,BP,674,81,1,8101,2009,2,Godney,6 (NA),NA,NA,NA,NA,NA,1,39993,0.695833333,BP SS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67501,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,675,81,2,8102,2009,2,Godney,1,ST,48627,42006,48627,42006,1,39993,0.75,BP SS,1,2 to 3,SW,30,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,rhyne,1.1,100,nr,0.85,40,235,0,19.56,0.493,0.37,122.7,5.7,NA,15,20,5,4,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67502,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,675,81,2,8102,2009,2,Godney,2,ST,48622,42003,48622,42003,1,39993,0.75,BP SS,1,2 to 3,SW,30,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,rhyne,1.1,100,nr,0.85,40,235,0,NA,NA,NA,NA,NA,NA,20,15,nr,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67503,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,675,81,2,8102,2009,2,Godney,3,ST,48620,42002,48620,42002,1,39993,0.75,BP SS,1,2 to 3,SW,30,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,rhyne,1.1,100,nr,0.85,40,235,0,20.16,0.447,0.34,118.2,6.07,NA,20,10,18,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67504,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,675,81,2,8102,2009,2,Godney,4,ST,48616,42000,48616,42000,1,39993,0.75,BP SS,1,2 to 3,SW,30,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,rhyne,1.1,100,nr,0.85,40,235,0,NA,NA,NA,NA,NA,NA,20,20,11,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
