total,cx_pipiens,an_maculipennis,an_claviger,cs_annulata,row,site,plot,location,dip_point,easting,northing,landcover,cleared,width,waterboard,exposure,management,shaded,edgedepth,centredepth,buttercup,grass,clover,carex,juncus,marsh_marigold,meadow_sweet,nettles,thistle,water_mint,birch,alder,dog_rose,hawthorn,oak,willow,ladies_frock,wtemp,turbidity,salinity,do,ph,year,season,total_cover,cover_emergent,cover_surface,cover_vertical,mean_height,height_emergent,height_surface,height_vertical
0,0,0,0,0,1,81,1,Godney,1,348854,142102,pasture,0,1.1,1.1,2,1,1,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,7.3,2009,2,0.0625,0,0,0.0625,83.33333333333333,0,0,0.0625
0,0,0,0,0,2,81,1,Godney,2,348854,142102,pasture,0,1.1,1.1,2,1,1,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,21.2,0.899,0.69,106.2,7.3,2009,2,0.0625,0,0,0.0625,83.33333333333333,0,0,0.0625
0,0,0,0,0,3,81,1,Godney,3,348854,142102,pasture,0,1.1,1.1,2,1,1,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,7.3,2009,2,0.0625,0,0,0.0625,83.33333333333333,0,0,0.0625
0,0,0,0,0,4,81,1,Godney,4,348854,142102,pasture,0,1.1,1.1,2,1,1,NA,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,2009,2,0.0625,0,0,0.0625,83.33333333333333,0,0,0.0625
0,0,0,0,0,5,81,2,Godney,1,348618,142001,pasture,0,1.1,0.85,4,1,0.8,15,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.56,0.493,0.37,122.7,5.7,2009,2,0.95,0,0.5666666666666667,0.38333333333333336,158.33333333333334,0,0.5666666666666667,0.38333333333333336
0,0,0,0,0,6,81,2,Godney,2,348618,142001,pasture,0,1.1,0.85,4,1,0.8,20,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2009,2,0.95,0,0.5666666666666667,0.38333333333333336,158.33333333333334,0,0.5666666666666667,0.38333333333333336
0,0,0,0,0,7,81,2,Godney,3,348618,142001,pasture,0,1.1,0.85,4,1,0.8,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.16,0.447,0.34,118.2,6.07,2009,2,0.95,0,0.5666666666666667,0.38333333333333336,158.33333333333334,0,0.5666666666666667,0.38333333333333336
0,0,0,0,0,8,81,2,Godney,4,348618,142001,pasture,0,1.1,0.85,4,1,0.8,20,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2009,2,0.95,0,0.5666666666666667,0.38333333333333336,158.33333333333334,0,0.5666666666666667,0.38333333333333336
0,0,0,0,0,9,81,2,Godney,5,348618,142001,pasture,0,1.1,0.85,4,1,0.8,10,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.23,0.498,0.38,124.5,5.9,2009,2,0.95,0,0.5666666666666667,0.38333333333333336,158.33333333333334,0,0.5666666666666667,0.38333333333333336
0,0,0,0,0,10,81,2,Godney,6,348618,142001,pasture,0,1.1,0.85,4,1,0.8,20,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2009,2,0.95,0,0.5666666666666667,0.38333333333333336,158.33333333333334,0,0.5666666666666667,0.38333333333333336
0,0,0,0,0,11,81,3,Godney,1,348756.5,142091,rough pasture,0,2,1,4,1,0.8,20,20,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,20.15,0.759,0.58,118.3,6.6,2009,2,0.8,0,0.4666666666666667,0.3333333333333333,92,0,0.4666666666666667,0.3333333333333333
