interlink_larva_dippin_with_metadata,sort,cross_ref.x,site.x,plot.x,plot_id.x,year.x,season.x,location.x,dip_point.x,water_tier_management.x,date,no_of_dips,rhyne_dry.x,totals_n_larvae,totals_not_ided,totals_n_an_maculipennis,totals_n_an_claviger,totals_n_cx_pipiens,totals_n_cs_annulata,totals_n_cs_morsitans,totals_n_oc_annulipes_cantans,totals_n_oc_caspius,a_round_dip_location,a_round_nlarvae,a_round_not_ided,a_round_an_maculipennis,a_round_an_claviger,a_round_cx_pipiens,a_round_cs_annulata,a_round_cs_morsitans,a_round_oc_annulipes_cantans,a_round_oc_caspius,b_round_dip_location,b_round_nlarvae,b_round_not_ided,b_round_an_maculipennis,b_round_an_claviger,b_round_cx_pipiens,b_round_cs_annulata,b_round_cs_morsitans,b_round_oc_annulipes_cantans,b_round_oc_caspius,c_round_dip_location,c_round_nlarvae,c_round_not_ided,c_round_an_maculipennis,c_round_an_claviger,c_round_cx_pipiens,c_round_cs_annulata,c_round_cs_morsitans,c_round_oc_annulipes_cantans,c_round_oc_caspius,data_entered_by_comment,who_assessed_vegetation,new_averaged_gps_readings_st,new_averaged_gps_readings_eastings,new_averaged_gps_readings_northings,eastings_recordings_from_field_data_sheet,northings_recordings_from_field_data_sheet,water_tier_management.y,sample_date,sampling_time,operator,landcover_rough_pasture_rough_pasture_reed_bed_wet_woodland,buttercup,grass,clover,carex,juncus,marsh_marigold,meadow_sweet,nettles,thistle,water_mint,dandelion,birch,alder,dog_rose,hawthorn,oak,sallow,willow,ladies_frock,cows_visible,sheep_visible,other_life_stock_visible,rhyne_cleared,dry_ever_in_that_year,dry_ever_all_years,average_width_m,approx_length_m,approx_size_m2,waterboard_water_level_below_land_m,water_temperature_c,turbidity,salinity,dissolved_oxygen,p_h_probe,av_depth_proximal_edge_cm,av_depth_centre_cm,exposure_1_sun_3_shade_2_partial_shade_4_open_but_emergent_vegetation_within_rhyne_5_open_but_shaded_by_very_high_bank_or_dense_overhanging_bank_vegetation,percentage_water_shaded
67401,1641,674,81,1,8101,2009,2,Godney,1,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,SMS,BP,ST,48856,42096,48856,42096,1,39993,0.695833333,BP SS,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,nr,nr,1.1,nr,nr,nr,nr,7.3,nr,nr,2,100
67402,1642,674,81,1,8101,2009,2,Godney,2,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,SMS,BP,ST,48855,42096,48855,42096,1,39993,0.695833333,BP SS,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,nr,nr,1.1,21.2,0.899,0.69,106.2,7.3,nr,nr,2,100
67403,1643,674,81,1,8101,2009,2,Godney,3,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,SMS,BP,ST,48854,42102,48854,42102,1,39993,0.695833333,BP SS,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,nr,nr,1.1,nr,nr,nr,nr,7.3,nr,nr,2,100
67404,1644,674,81,1,8101,2009,2,Godney,4,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,SMS,BP,ST,48794,42274,48793,42280,1,39993,0.695833333,BP SS,pasture,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.1,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,2,100
67501,1647,675,81,2,8102,2009,2,Godney,1,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48627,42006,48627,42006,1,39993,0.75,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,100,nr,0.85,19.56,0.493,0.37,122.7,5.7,15,20,4,80
67502,1648,675,81,2,8102,2009,2,Godney,2,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48622,42003,48622,42003,1,39993,0.75,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,100,nr,0.85,NA,NA,NA,NA,NA,20,15,4,80
67503,1649,675,81,2,8102,2009,2,Godney,3,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48620,42002,48620,42002,1,39993,0.75,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,100,nr,0.85,20.16,0.447,0.34,118.2,6.07,20,10,4,80
67504,1650,675,81,2,8102,2009,2,Godney,4,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48616,42000,48616,42000,1,39993,0.75,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,100,nr,0.85,NA,NA,NA,NA,NA,20,20,4,80
67505,1651,675,81,2,8102,2009,2,Godney,5,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48609,41997,48609,41997,1,39993,0.75,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,100,nr,0.85,19.23,0.498,0.38,124.5,5.9,10,20,4,80
67506,1652,675,81,2,8102,2009,2,Godney,6,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48609,41995,48609,41995,1,39993,0.75,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1,100,nr,0.85,NA,NA,NA,NA,NA,20,30,4,80
